Utterance,Sentiment,cleanText,prediction
好了没事了,neutral,好 了 没事 了,"{'label': 'neutral', 'score': 0.47163236141204834}"
谢谢你哦,neutral,谢谢 你 哦,"{'label': 'positive', 'score': 0.5268211960792542}"
没关系,negative,没关系,"{'label': 'neutral', 'score': 0.4514378011226654}"
喂,negative,喂,"{'label': 'neutral', 'score': 0.8245795965194702}"
没事吧,negative,没事 吧,"{'label': 'negative', 'score': 0.6803562641143799}"
借你这儿躲一下,negative,借 你 这儿 躲 一下,"{'label': 'negative', 'score': 0.4276680052280426}"
不至于吧,negative,不至于 吧,"{'label': 'negative', 'score': 0.6350087523460388}"
你踩着我的脚了,negative,你 踩 着 我 的 脚 了,"{'label': 'negative', 'score': 0.789176881313324}"
不好意思,negative,不好意思,"{'label': 'neutral', 'score': 0.40421053767204285}"
没关系,neutral,没关系,"{'label': 'neutral', 'score': 0.4514378011226654}"
谢谢你,positive,谢谢 你,"{'label': 'positive', 'score': 0.5690018534660339}"
刚才那些坏人是谁,neutral,刚才 那些 坏人 是 谁,"{'label': 'negative', 'score': 0.57380211353302}"
他们是坏人 很坏的人,neutral,他们 是 坏人 很 坏 的 人,"{'label': 'negative', 'score': 0.5772698521614075}"
叫我宛瑜吧,neutral,叫 我 宛瑜 吧,"{'label': 'neutral', 'score': 0.5575065016746521}"
我叫展博,neutral,我 叫 展博,"{'label': 'neutral', 'score': 0.6197645664215088}"
我们算认识了,neutral,我们 算 认识 了,"{'label': 'neutral', 'score': 0.4294024109840393}"
你是来出差的吗,neutral,你 是 来 出差 的 吗,"{'label': 'neutral', 'score': 0.42018240690231323}"
我刚从国外留学回来,neutral,我 刚 从 国外 留学 回来,"{'label': 'neutral', 'score': 0.5712862014770508}"
学什么呀,neutral,学 什么 呀,"{'label': 'negative', 'score': 0.6290683746337891}"
计算机,neutral,计算机,"{'label': 'negative', 'score': 0.49406224489212036}"
我从小就在那念书,neutral,我 从小 就 在 那 念书,"{'label': 'neutral', 'score': 0.44823870062828064}"
好久没回来了,neutral,好久 没 回来 了,"{'label': 'neutral', 'score': 0.4755237102508545}"
你呢,neutral,你 呢,"{'label': 'neutral', 'score': 0.6640915870666504}"
我是来寻宝的,positive,我 是 来 寻宝 的,"{'label': 'positive', 'score': 0.5936782956123352}"
寻宝,negative,寻宝,"{'label': 'positive', 'score': 0.39631426334381104}"
我要找一个地方名字叫做爱情公寓,positive,我 要 找 一个 地方 名字 叫做 爱情 公寓,"{'label': 'negative', 'score': 0.6262452006340027}"
爱情公寓,negative,爱情 公寓,"{'label': 'positive', 'score': 0.6214500665664673}"
对,positive,对,"{'label': 'neutral', 'score': 0.6015540957450867}"
